Date,BiodegradableWastes,NonBiodegradableWastes,Cleanup,Degradation
2026-01-01,1550.25,620.40,900.00,15.50
2026-01-02,1480.00,590.15,1100.00,14.80
2026-01-03,1320.60,480.80,1200.00,13.20
2026-01-04,1100.40,390.60,1100.00,11.00
2026-01-05,1050.00,410.50,1500.00,10.50
2026-01-06,2850.90,980.30,600.00,18.25
2026-01-07,1340.15,475.45,1400.00,13.40
2026-01-08,1050.00,390.00,1100.00,10.50
2026-01-09,980.50,310.20,1000.00,9.80
2026-01-10,1120.30,420.80,1200.00,11.20
2026-01-11,1050.20,380.40,1100.00,10.50
2026-01-12,980.75,340.10,1050.00,9.80
2026-01-13,1100.50,420.30,1200.00,11.00
2026-01-14,1250.40,490.60,1300.00,12.50
2026-01-15,1400.00,550.00,1400.00,14.00
2026-01-16,1300.20,510.80,1350.00,13.00
2026-01-17,1180.50,460.40,1250.00,11.80
2026-01-18,1020.30,390.20,1100.00,10.20
2026-01-19,950.80,340.50,1000.00,9.50
2026-01-20,890.40,310.10,950.00,8.90
2026-01-21,920.60,330.40,900.00,9.20
2026-01-22,1050.30,410.20,1000.00,10.50
2026-01-23,1180.50,470.60,1150.00,11.80
2026-01-24,1300.20,520.40,1250.00,13.00
2026-01-25,1450.70,590.90,1400.00,14.50
2026-01-26,1600.40,650.30,1500.00,16.00
2026-01-27,1520.10,610.50,1450.00,15.20
2026-01-28,1400.50,560.80,1300.00,14.00
2026-01-29,1280.30,510.40,1200.00,12.80
2026-01-30,1150.90,460.10,1100.00,11.50
